Speed,Left,Right
250,38,39
250,220,231
250,226,241
250,228,239
250,229,241
250,236,240
240,225,235
240,221,240
240,225,231
240,225,234
240,226,234
240,230,230
230,221,233
230,217,227
230,216,227
230,217,227
230,218,229
230,216,224
220,210,219
220,206,217
220,206,223
220,208,217
220,208,221
220,205,218
210,201,211
210,198,212
210,200,207
210,197,206
210,200,210
210,199,205
200,188,197
200,186,199
200,190,195
200,186,199
200,191,197
200,186,195
190,176,192
190,176,184
190,175,185
190,176,188
190,175,182
190,174,186
180,167,173
180,164,172
180,165,170
180,165,173
180,166,173
180,167,169
170,156,162
170,154,158
170,156,163
170,155,159
170,156,159
170,157,160
160,148,149
160,144,147
160,145,147
160,146,149
160,146,148
160,146,147
150,136,137
150,134,135
150,134,135
150,134,135
150,134,133
150,134,134
140,124,128
140,124,128
140,123,126
140,123,126
140,124,126
140,122,127
130,114,117
130,112,116
130,113,115
130,113,115
130,112,114
130,112,115
120,104,107
120,102,105
120,102,104
120,102,105
120,102,107
120,102,106
110,93,97
110,91,94
110,92,96
110,92,94
110,91,97
110,92,96
100,83,87
100,82,84
100,82,84
100,81,86
100,81,84
100,82,86
90,74,76
90,72,78
90,72,75
90,72,74
90,72,75
90,72,74
80,67,69
80,67,69
80,68,67
80,66,67
80,68,71
80,66,69
70,56,58
70,54,55
70,54,57
70,54,60
70,54,56
70,54,54
60,46,46
60,44,48
60,45,48
60,47,46
60,45,46
60,45,50
50,36,38
50,37,36
50,37,39
50,36,38
50,40,37
50,37,36
40,29,28
40,28,30
40,27,32
40,28,28
40,30,28
40,27,30
30,20,24
30,22,24
30,20,20
30,20,20
30,19,20
30,19,23
20,11,9
20,11,12
20,10,12
20,10,8
20,10,12
20,10,8
10,1,1
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0

